"posting_date","quantity"
"2025-01-02","52746.179999999935"
"2025-01-03","61622.739"
"2025-01-04","73518.157"
"2025-01-06","76999.27000000008"
"2025-01-07","84871.77700000006"
"2025-01-08","80088.63700000009"
"2025-01-09","95848.714"
"2025-01-10","63782.164000000026"
"2025-01-11","44149.481999999975"
"2025-01-13","51566.73699999995"
"2025-01-14","39193.947"
"2025-01-15","60332.74499999997"
"2025-01-16","53507.652999999984"
"2025-01-17","56317.075000000026"
"2025-01-18","47366.14900000001"
"2025-01-20","52889.83300000003"
"2025-01-21","54724.62500000001"
"2025-01-22","56623.82300000002"
"2025-01-23","58897.984000000004"
"2025-01-24","65663.73199999999"
"2025-01-25","52619.13000000006"
"2025-01-27","63405.51700000004"
"2025-01-28","61671.65600000001"
"2025-01-29","65800.31899999996"
"2025-01-30","69725.61199999996"
"2025-01-31","70696.88799999989"
"2025-02-01","61083.224000000046"
"2025-02-03","70217.02100000004"
"2025-02-04","73776.078"
"2025-02-05","73358.41399999998"
"2025-02-06","66501.09599999996"
"2025-02-07","61528.936"
"2025-02-08","50277.804000000004"
"2025-02-10","72530.73399999994"
"2025-02-11","68710.66199999995"
"2025-02-12","76360.94799999992"
"2025-02-13","76106.79699999998"
"2025-02-14","66423.271"
"2025-02-15","46008.83899999999"
"2025-02-17","61046.44799999999"
"2025-02-18","44874.47000000004"
"2025-02-19","41049.185999999965"
"2025-02-20","36408.88700000003"
"2025-02-21","26964.328"
"2025-02-24","22508.411000000007"
"2025-02-25","21976.004999999986"
"2025-02-26","39710.953000000016"
"2025-02-27","33021.63199999999"
"2025-02-28","34637.398000000016"
"2025-03-03","24205.29100000001"
"2025-03-04","22906.058"
"2025-03-05","20127.31000000001"
"2025-03-06","18935.557"
"2025-03-07","16446.339000000004"
"2025-03-10","17508.925000000003"
"2025-03-11","14790.655000000002"
"2025-03-12","15911.309000000001"
"2025-03-13","14197.846"
"2025-03-14","11434.082"
"2025-03-17","9353.371000000003"
"2025-03-18","8160.051999999998"
"2025-03-19","12586.386000000002"
"2025-03-20","6788.676999999999"
"2025-03-21","8792.017000000002"
"2025-03-24","4058.766"
"2025-03-25","5222.886999999998"
"2025-03-26","3178.474"
"2025-03-27","3289.180999999999"
"2025-03-31","2484.5039999999995"
"2025-04-01","1839.0239999999997"
"2025-04-02","4960.167"
"2025-04-03","5765.8060000000005"
"2025-04-04","6313.634"
"2025-04-07","2979.1890000000008"
"2025-04-08","3752.8750000000005"
"2025-04-09","3979.1639999999998"
"2025-04-10","5011.967000000001"
"2025-04-11","3539.08"
"2025-04-14","6113.530999999999"
"2025-04-15","4832.6849999999995"
"2025-04-16","2812.0050000000006"
"2025-04-21","4204.1349999999975"
"2025-04-22","6147.004000000002"
"2025-04-23","8661.403999999999"
"2025-04-24","6224.727999999999"
"2025-04-25","7411.445000000001"
"2025-04-28","10735.473999999995"
"2025-04-29","7156.8889999999965"
"2025-04-30","8250.771000000002"
"2025-05-02","13476.016"
"2025-05-05","10043.959999999997"
"2025-05-06","13894.11900000001"
"2025-05-07","13954.052000000003"
"2025-05-08","12299.853000000006"
"2025-05-09","14930.249999999996"
"2025-05-12","22250.56800000001"
"2025-05-13","30249.27900000002"
"2025-05-14","28276.194000000003"
"2025-05-15","24427.909999999996"
"2025-05-16","23692.459000000003"
"2025-05-19","26620.925999999996"
"2025-05-20","26776.421"
"2025-05-21","25721.588000000003"
"2025-05-22","26983.340999999993"
"2025-05-23","27281.734999999986"
"2025-05-26","26364.973999999995"
"2025-05-27","27849.20600000001"
"2025-05-28","24991.584000000003"
"2025-05-29","28444.259000000016"
"2025-05-30","30765.265000000007"
"2025-05-31","23564.752"
"2025-06-02","34950.68199999998"
