season_year,year,week,farm,stage,field,shift,batch,crop,variety,row_number,plant_number,plant_number_row,inspection_date,inspection_id,season,closed_flower_count,open_flower_count,set_fruit_count,green_fruit_count,sample_datetime,total_flower_count,state_total_flower_count,state_set_fruit_count,state_green_fruit_count,thr_total_flower_count,thr_set_fruit_count,thr_green_fruit_count
2025,2025,23,A9,E06,C01,T01A,1004,ARÁNDANO,SEKOYA POP,34,17,50,2025-06-05,10827311,2025-1,75,341,114,328,2025-06-05 16:32:24,416,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,23,A9,E06,C02,T03A,2012,ARÁNDANO,SEKOYA POP,142,63,31,2025-06-04,10825318,2025-1,45,23,647,356,2025-06-04 15:59:44,68,valid,invalid,valid,400.0,400.0,2000.0
2025,2025,23,C5,E01,C07,T01A,7002,ARÁNDANO,EMERALD,35,21,32,2025-05-31,10820422,2025-1,87,75,472,117,2025-05-31 14:55:02,162,valid,invalid,valid,400.0,400.0,2000.0
2025,2025,23,C5,E02,C02,T04D,2013,ARÁNDANO,SEKOYA POP,139,1,64,2025-06-06,10828709,2025-1,301,184,162,801,2025-06-06 18:58:20,485,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,23,C5,E02,C04,T02B,4005,ARÁNDANO,ROSITA,85,49,90,2025-06-03,10823565,2025-1,212,28,31,6,2025-06-03 13:30:56,240,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,23,C5,E02,C04,T02B,4005,ARÁNDANO,ROSITA,86,51,90,2025-06-03,10823565,2025-1,269,59,130,56,2025-06-03 14:26:03,328,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,23,C5,E02,C04,T02B,4006,ARÁNDANO,ROSITA,102,67,108,2025-06-03,10823566,2025-1,208,33,102,19,2025-06-03 16:51:39,241,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,23,C5,E02,C04,T02B,4007,ARÁNDANO,ROSITA,103,66,108,2025-06-03,10823567,2025-1,301,32,92,7,2025-06-03 16:37:37,333,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,23,C5,E02,C04,T03B,4013,ARÁNDANO,ROSITA,222,126,108,2025-06-06,10828727,2025-1,233,189,125,104,2025-06-06 20:14:12,422,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,23,C5,E02,C04,T03B,4015,ARÁNDANO,ROSITA,136,79,18,2025-06-03,10823902,2025-1,256,18,90,15,2025-06-03 19:33:54,274,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,23,C5,E02,C04,T03B,4015,ARÁNDANO,ROSITA,222,120,108,2025-06-03,10823571,2025-1,213,23,69,11,2025-06-03 20:51:24,236,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,23,C5,E03,C03,T03A,3009,ARÁNDANO,SEKOYA POP,136,10,26,2025-06-02,10821937,2025-1,226,211,175,250,2025-06-02 19:39:36,437,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,23,C5,E03,C03,T03A,3009,ARÁNDANO,SEKOYA POP,153,13,40,2025-06-02,10821937,2025-1,219,209,85,195,2025-06-02 20:16:33,428,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,23,C5,E03,C03,T03A,3009,ARÁNDANO,SEKOYA POP,187,37,71,2025-06-05,10826952,2025-1,267,164,367,659,2025-06-05 16:17:16,431,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,23,C5,E03,C03,T03A,3010,ARÁNDANO,SEKOYA POP,170,31,54,2025-06-05,10826951,2025-1,467,190,359,444,2025-06-05 14:50:15,657,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,23,C5,E03,C03,T03A,3010,ARÁNDANO,SEKOYA POP,187,40,71,2025-06-05,10826951,2025-1,444,169,286,573,2025-06-05 17:10:22,613,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,23,C5,E03,C03,T03A,3010,ARÁNDANO,SEKOYA POP,204,55,88,2025-06-06,10828838,2025-1,362,209,207,437,2025-06-06 17:09:29,571,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,23,C5,E03,C03,T03A,3010,ARÁNDANO,SEKOYA POP,221,64,105,2025-06-06,10828838,2025-1,258,241,236,309,2025-06-06 20:28:20,499,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,23,C5,E03,C03,T03A,3011,ARÁNDANO,SEKOYA POP,187,43,71,2025-06-05,10826950,2025-1,367,189,221,568,2025-06-05 17:55:25,556,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,23,C5,E03,C03,T03A,3012,ARÁNDANO,SEKOYA POP,170,25,54,2025-06-05,10826949,2025-1,342,222,319,275,2025-06-05 13:23:41,564,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,23,C5,E03,C03,T03A,3012,ARÁNDANO,SEKOYA POP,204,49,73,2025-06-05,10826949,2025-1,528,173,149,300,2025-06-05 20:04:51,701,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,23,C6,E04,C05,T03A,5012,ARÁNDANO,JÚPITER,52,18,116,2025-06-04,10825197,2025-1,199,16,19,0,2025-06-04 20:40:06,215,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,23,C6,E04,C05,T03A,5014,ARÁNDANO,JÚPITER,66,12,76,2025-06-04,10825199,2025-1,177,25,22,6,2025-06-04 19:41:04,202,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,23,LN,E02,C05,T03A,5014,ARÁNDANO,SEKOYA POP ORGÁNICA,15,100,48,2025-06-05,10827340,2025-1,100,133,36,100,2025-06-05 13:55:44,233,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,A9,E07,C02,T03A,2009,ARÁNDANO,SEKOYA POP,161,119,60,2025-06-10,10833145,2025-1,308,123,207,313,2025-06-10 17:33:38,431,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,24,A9,E07,C04,T04B,4015,ARÁNDANO,SEKOYA POP,347,11,28,2025-06-13,10838120,2025-1,205,294,124,405,2025-06-13 16:18:26,499,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,24,C5,E02,C02,T04D,2013,ARÁNDANO,SEKOYA POP,139,1,64,2025-06-10,10833039,2025-1,129,51,450,951,2025-06-10 19:41:57,180,valid,invalid,valid,400.0,400.0,2000.0
2025,2025,24,C5,E02,C04,T02B,4005,ARÁNDANO,ROSITA,85,49,90,2025-06-09,10831078,2025-1,195,77,195,33,2025-06-09 20:48:16,272,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T02B,4005,ARÁNDANO,ROSITA,86,51,90,2025-06-09,10831078,2025-1,146,80,96,187,2025-06-09 20:55:24,226,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T02B,4006,ARÁNDANO,ROSITA,17,5,20,2025-06-12,10836107,2025-1,186,94,201,40,2025-06-12 19:44:00,280,invalid,invalid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T02B,4006,ARÁNDANO,ROSITA,18,6,18,2025-06-09,10831079,2025-1,188,23,167,74,2025-06-09 14:10:57,211,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T02B,4006,ARÁNDANO,ROSITA,34,19,36,2025-06-09,10831079,2025-1,258,46,73,5,2025-06-09 15:32:53,304,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T02B,4006,ARÁNDANO,ROSITA,102,68,110,2025-06-12,10836107,2025-1,12,19,226,208,2025-06-12 15:07:51,31,valid,invalid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T02B,4007,ARÁNDANO,ROSITA,102,65,110,2025-06-12,10836108,2025-1,111,102,286,55,2025-06-12 15:25:54,213,invalid,invalid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T02B,4007,ARÁNDANO,ROSITA,103,66,108,2025-06-10,10832859,2025-1,234,95,297,109,2025-06-10 14:04:47,329,invalid,invalid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T02B,4008,ARÁNDANO,ROSITA,17,11,20,2025-06-12,10836109,2025-1,4,16,243,430,2025-06-12 19:19:05,20,valid,invalid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T03B,4013,ARÁNDANO,ROSITA,170,91,54,2025-06-10,10832861,2025-1,9,33,241,91,2025-06-10 16:35:43,42,valid,invalid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T03B,4013,ARÁNDANO,ROSITA,222,126,108,2025-06-11,10834786,2025-1,89,49,278,227,2025-06-11 15:35:58,138,valid,invalid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T03B,4014,ARÁNDANO,ROSITA,103,78,108,2025-06-10,10832863,2025-1,178,56,127,35,2025-06-10 15:40:24,234,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T03B,4014,ARÁNDANO,ROSITA,188,105,74,2025-06-10,10832863,2025-1,131,89,36,0,2025-06-10 19:12:48,220,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T03B,4014,ARÁNDANO,ROSITA,221,122,110,2025-06-12,10836104,2025-1,123,105,278,80,2025-06-12 14:42:24,228,invalid,invalid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T03B,4015,ARÁNDANO,ROSITA,136,80,18,2025-06-10,10832872,2025-1,91,72,261,92,2025-06-10 15:55:49,163,valid,invalid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T03B,4015,ARÁNDANO,ROSITA,136,80,20,2025-06-11,10834788,2025-1,143,68,92,21,2025-06-11 20:18:52,211,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T03B,4015,ARÁNDANO,ROSITA,204,115,90,2025-06-10,10832872,2025-1,123,91,136,101,2025-06-10 20:50:42,214,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E02,C04,T03B,4015,ARÁNDANO,ROSITA,222,120,108,2025-06-11,10834788,2025-1,101,78,272,50,2025-06-11 16:17:46,179,valid,invalid,valid,200.0,200.0,2000.0
2025,2025,24,C5,E03,C03,T03A,3009,ARÁNDANO,SEKOYA POP,136,10,26,2025-06-10,10833058,2025-1,299,208,419,893,2025-06-10 20:16:09,507,invalid,invalid,valid,400.0,400.0,2000.0
2025,2025,24,C5,E03,C03,T03A,3009,ARÁNDANO,SEKOYA POP,153,13,40,2025-06-10,10833058,2025-1,298,200,328,325,2025-06-10 20:49:15,498,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,24,C5,E03,C03,T03A,3010,ARÁNDANO,SEKOYA POP,136,7,26,2025-06-10,10833057,2025-1,357,163,213,496,2025-06-10 19:25:24,520,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,24,C5,E03,C03,T03A,3010,ARÁNDANO,SEKOYA POP,170,31,54,2025-06-12,10836116,2025-1,435,180,580,623,2025-06-12 16:27:51,615,invalid,invalid,valid,400.0,400.0,2000.0
2025,2025,24,C5,E03,C03,T03A,3010,ARÁNDANO,SEKOYA POP,187,40,71,2025-06-12,10836116,2025-1,200,145,423,844,2025-06-12 18:45:19,345,valid,invalid,valid,400.0,400.0,2000.0
2025,2025,24,C5,E03,C03,T03A,3011,ARÁNDANO,SEKOYA POP,153,19,40,2025-06-12,10836117,2025-1,315,120,159,236,2025-06-12 13:03:14,435,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,24,C5,E03,C03,T03A,3011,ARÁNDANO,SEKOYA POP,187,43,71,2025-06-13,10837885,2025-1,312,128,213,985,2025-06-13 13:55:19,440,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,24,C5,E03,C03,T03A,3012,ARÁNDANO,SEKOYA POP,136,1,26,2025-06-10,10833055,2025-1,355,155,275,505,2025-06-10 17:23:08,510,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,24,C5,E03,C03,T03A,3012,ARÁNDANO,SEKOYA POP,204,49,73,2025-06-13,10837886,2025-1,417,280,317,673,2025-06-13 14:52:33,697,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,24,C5,E03,C06,T01G,6005,ARÁNDANO,MAGNUS,5,1,57,2025-06-12,10836182,2025-1,249,88,202,151,2025-06-12 15:27:16,337,invalid,valid,valid,300.0,300.0,2000.0
2025,2025,24,C5,E03,C06,T01G,6005,ARÁNDANO,MAGNUS,7,2,124,2025-06-12,10836182,2025-1,131,88,338,273,2025-06-12 16:22:14,219,valid,invalid,valid,300.0,300.0,2000.0
2025,2025,24,C6,E04,C01,T04A,1016,ARÁNDANO,ATLAS,221,144,126,2025-06-09,10831243,2025-1,230,102,42,110,2025-06-09 20:42:49,332,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C6,E04,C05,T02A,5008,ARÁNDANO,ATLAS,,,,2025-06-11,10834484,2025-1,,,,,2025-06-11 19:56:38,,missing,missing,missing,200.0,200.0,2000.0
2025,2025,24,C6,E04,C05,T02A,5008,ARÁNDANO,ATLAS,,,,2025-06-11,10834484,2025-1,,,,,2025-06-11 20:00:18,,missing,missing,missing,200.0,200.0,2000.0
2025,2025,24,C6,E04,C05,T03A,5011,ARÁNDANO,JÚPITER,80,1,36,2025-06-11,10834708,2025-1,277,75,128,42,2025-06-11 12:57:44,352,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C6,E04,C05,T03A,5012,ARÁNDANO,JÚPITER,59,15,94,2025-06-11,10834709,2025-1,257,51,109,10,2025-06-11 19:23:47,308,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C6,E04,C05,T03A,5013,ARÁNDANO,JÚPITER,59,14,96,2025-06-11,10834710,2025-1,207,50,70,35,2025-06-11 17:55:07,257,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C6,E04,C05,T03A,5014,ARÁNDANO,JÚPITER,66,12,76,2025-06-11,10834711,2025-1,228,32,197,33,2025-06-11 17:22:05,260,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C6,E04,C05,T03A,5014,ARÁNDANO,JÚPITER,80,4,36,2025-06-11,10834711,2025-1,420,84,152,30,2025-06-11 14:45:00,504,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,C6,E05,C03,T02B,3009,ARÁNDANO,TERRAPIN,157,7,82,2025-06-11,10834842,2025-1,198,11,78,324,2025-06-11 20:46:51,209,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,LN,E02,C04,T06A,4021,ARÁNDANO,SEKOYA POP ORGÁNICA,171,206,121,2025-06-12,10835861,2025-1,150,60,40,7,2025-06-12 14:59:14,210,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,LN,E02,C04,T06A,4024,ARÁNDANO,SEKOYA POP ORGÁNICA,156,194,81,2025-06-12,10835864,2025-1,147,69,44,5,2025-06-12 14:06:09,216,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,24,LN,E02,C06,T04A,6015,ARÁNDANO,SEKOYA POP ORGÁNICA,171,134,151,2025-06-12,10836618,2025-1,202,25,30,26,2025-06-12 16:22:00,227,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,25,A9,E06,C01,T02A,1008,ARÁNDANO,SEKOYA POP,34,51,51,2025-06-17,10843199,2025-1,240,217,182,272,2025-06-17 15:59:07,457,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,25,A9,E06,C02,T02A,2007,ARÁNDANO,SEKOYA POP,176,47,70,2025-06-18,10844537,2025-1,274,141,128,214,2025-06-18 16:33:23,415,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,25,A9,E07,C02,T03A,2009,ARÁNDANO,SEKOYA POP,161,119,62,2025-06-19,10846231,2025-1,390,422,489,711,2025-06-19 15:38:33,812,invalid,invalid,valid,400.0,400.0,2000.0
2025,2025,25,A9,E07,C02,T03A,2010,ARÁNDANO,SEKOYA POP,127,101,24,2025-06-19,10846230,2025-1,255,296,291,347,2025-06-19 14:08:41,551,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,25,A9,E07,C02,T03A,2011,ARÁNDANO,SEKOYA POP,127,99,23,2025-06-19,10846229,2025-1,239,244,180,214,2025-06-19 13:33:27,483,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,25,A9,E07,C02,T03A,2011,ARÁNDANO,SEKOYA POP,144,109,45,2025-06-19,10846386,2025-1,261,230,110,298,2025-06-19 14:30:53,491,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,25,A9,E07,C02,T03A,2011,ARÁNDANO,SEKOYA POP,161,115,64,2025-06-19,10846229,2025-1,360,257,237,226,2025-06-19 16:46:50,617,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,25,A9,E07,C02,T03A,2012,ARÁNDANO,SEKOYA POP,127,97,25,2025-06-19,10846228,2025-1,312,246,286,291,2025-06-19 13:08:50,558,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,25,C5,E01,C07,T02A,7008,ARÁNDANO,EMERALD,68,109,60,2025-06-19,10846097,2025-1,363,81,49,14,2025-06-19 16:13:08,444,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,25,C5,E02,C02,T04M,2015,ARÁNDANO,ALBUS(FL 11-051),129,3,78,2025-06-19,10846216,2025-1,130,3,227,85,2025-06-19 16:25:22,133,valid,invalid,valid,200.0,200.0,2000.0
2025,2025,25,C5,E02,C04,T02B,4005,ARÁNDANO,ROSITA,35,24,38,2025-06-17,10842813,2025-1,75,50,221,133,2025-06-17 16:12:54,125,valid,invalid,valid,200.0,200.0,2000.0
2025,2025,25,C5,E02,C04,T02B,4005,ARÁNDANO,ROSITA,51,25,56,2025-06-17,10842813,2025-1,125,237,116,142,2025-06-17 15:11:01,362,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,25,C5,E02,C04,T02B,4005,ARÁNDANO,ROSITA,85,49,92,2025-06-16,10841216,2025-1,65,90,275,297,2025-06-16 17:39:18,155,valid,invalid,valid,200.0,200.0,2000.0
2025,2025,25,C5,E02,C04,T02B,4006,ARÁNDANO,ROSITA,35,21,38,2025-06-17,10842814,2025-1,86,138,206,440,2025-06-17 16:55:11,224,invalid,invalid,valid,200.0,200.0,2000.0
2025,2025,25,C5,E02,C04,T02B,4006,ARÁNDANO,ROSITA,51,28,58,2025-06-17,10842814,2025-1,143,93,100,91,2025-06-17 14:27:05,236,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,25,C5,E02,C04,T02B,4006,ARÁNDANO,ROSITA,68,43,76,2025-06-16,10841217,2025-1,102,124,175,64,2025-06-16 18:20:43,226,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,25,C5,E02,C04,T02B,4007,ARÁNDANO,ROSITA,103,66,110,2025-06-16,10841218,2025-1,191,58,40,20,2025-06-16 14:59:37,249,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,25,C5,E02,C04,T03B,4013,ARÁNDANO,ROSITA,171,93,56,2025-06-17,10842934,2025-1,145,66,199,115,2025-06-17 13:53:19,211,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,25,C5,E02,C06,T01C,6004,ARÁNDANO,BIANCA,102,62,20,2025-06-19,10846163,2025-1,243,0,0,0,2025-06-19 15:06:06,243,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,25,C5,E03,C03,T03A,3010,ARÁNDANO,SEKOYA POP,170,31,54,2025-06-19,10846035,2025-1,328,182,537,1080,2025-06-19 15:18:19,510,invalid,invalid,valid,400.0,400.0,2000.0
2025,2025,25,C5,E03,C03,T03A,3010,ARÁNDANO,SEKOYA POP,204,55,88,2025-06-19,10846440,2025-1,320,141,217,1008,2025-06-19 17:59:20,461,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,25,C5,E03,C03,T03A,3012,ARÁNDANO,SEKOYA POP,136,1,26,2025-06-16,10841372,2025-1,238,79,436,467,2025-06-16 17:06:27,317,valid,invalid,valid,400.0,400.0,2000.0
2025,2025,25,C5,E03,C03,T03A,3012,ARÁNDANO,SEKOYA POP,204,49,88,2025-06-19,10846438,2025-1,308,200,400,950,2025-06-19 20:45:20,508,invalid,valid,valid,400.0,400.0,2000.0
2025,2025,25,C5,E03,C06,T01I,6004,ARÁNDANO,MEGACRISP,16,1,33,2025-06-17,10842985,2025-1,186,31,65,3,2025-06-17 17:38:03,217,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,25,C6,E04,C01,T04A,1013,ARÁNDANO,ATLAS,205,132,108,2025-06-17,10842966,2025-1,166,56,200,216,2025-06-17 16:27:00,222,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,25,C6,E04,C01,T04A,1013,ARÁNDANO,ATLAS,221,133,132,2025-06-17,10842966,2025-1,217,86,245,120,2025-06-17 19:38:35,303,invalid,invalid,valid,200.0,200.0,2000.0
2025,2025,25,C6,E04,C01,T04A,1013,ARÁNDANO,ATLAS,221,134,134,2025-06-17,10842966,2025-1,232,96,257,93,2025-06-17 20:03:11,328,invalid,invalid,valid,200.0,200.0,2000.0
2025,2025,25,C6,E04,C01,T04A,1016,ARÁNDANO,ATLAS,222,144,128,2025-06-17,10842969,2025-1,207,66,192,73,2025-06-17 17:46:33,273,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,25,C6,E05,C02,T04D,2027,ARÁNDANO,RAYMI,220,139,134,2025-06-18,10844570,2025-1,124,79,152,0,2025-06-18 17:07:36,203,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,25,C6,E05,C03,T04B,3008,ARÁNDANO,ARANA,34,4,38,2025-06-17,10842833,2025-1,67,39,225,125,2025-06-17 16:07:26,106,valid,invalid,valid,200.0,200.0,2000.0
2025,2025,25,LN,E02,C04,T05A,4019,ARÁNDANO,SEKOYA POP ORGÁNICA,79,153,40,2025-06-19,10845681,2025-1,200,91,30,9,2025-06-19 14:08:26,291,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,25,LN,E02,C04,T05A,4020,ARÁNDANO,SEKOYA POP ORGÁNICA,78,154,40,2025-06-19,10845682,2025-1,200,53,84,0,2025-06-19 14:47:17,253,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,25,LN,E02,C04,T05A,4020,ARÁNDANO,SEKOYA POP ORGÁNICA,79,156,40,2025-06-19,10845682,2025-1,180,50,58,2,2025-06-19 14:48:55,230,invalid,valid,valid,200.0,200.0,2000.0
2025,2025,26,A9,E07,C02,T03A,2009,ARÁNDANO,SEKOYA POP,161,119,62,2025-06-25,011b457d-c102-4163-812c-fbf7740bacd5,2025-1,173,85,527,1197,2025-06-25 20:25:09,258,valid,invalid,valid,400.0,400.0,2000.0
